name,type,value,date
Brazil,0,58.45000076293945,01/01/1980
Venezuela  RB,0,55.599998474121094,01/01/1980
Mexico,0,48.900001525878906,01/01/1980
Malaysia,0,48.599998474121094,01/01/1980
Costa Rica,0,47.5,01/01/1980
Madagascar,0,46.79999923706055,01/01/1980
Thailand,0,45.20000076293945,01/01/1980
Uruguay,0,43.599998474121094,01/01/1980
Argentina,0,40.79999923706055,01/01/1980
Morocco,0,39.20000076293945,01/01/1980
Brazil,0,59.7,01/01/1985
Honduras,0,59.5,01/01/1985
Guatemala,0,58.94999885559082,01/01/1985
Panama,0,58.900001525878906,01/01/1985
Chile,0,56.20000076293945,01/01/1985
Lesotho,0,56.0,01/01/1985
Botswana,0,54.20000076293945,01/01/1985
Ecuador,0,50.5,01/01/1985
Venezuela  RB,0,49.35000038146973,01/01/1985
Dominican Republic,0,49.14999961853027,01/01/1985
Lesotho,0,63.20000076293945,01/01/1990
Central African Republic,0,61.29999923706055,01/01/1990
Botswana,0,60.79999923706055,01/01/1990
Belize,0,60.60000038146973,01/01/1990
Eswatini,0,60.5,01/01/1990
South Africa,0,59.29999923706055,01/01/1990
Panama,0,58.20000076293945,01/01/1990
Brazil,0,57.93333307902018,01/01/1990
Nicaragua,0,57.400001525878906,01/01/1990
Zambia,0,56.54999923706055,01/01/1990
Malawi,0,65.80000305175781,01/01/1995
South Africa,0,60.70000076293945,01/01/1995
Brazil,0,59.57999954223633,01/01/1995
Bolivia,0,58.14999961853027,01/01/1995
Colombia,0,57.80000114440918,01/01/1995
Suriname,0,57.599998474121094,01/01/1995
Panama,0,57.5,01/01/1995
Belize,0,56.30000019073486,01/01/1995
Paraguay,0,55.90000025431315,01/01/1995
Papua New Guinea,0,55.400001525878906,01/01/1995
Botswana,0,64.69999694824219,01/01/2000
Namibia,0,63.29999923706055,01/01/2000
Bolivia,0,58.32499980926514,01/01/2000
South Africa,0,57.79999923706055,01/01/2000
Brazil,0,57.64999961853027,01/01/2000
Honduras,0,56.77499961853027,01/01/2000
Panama,0,56.12000045776367,01/01/2000
Colombia,0,55.98000030517578,01/01/2000
Comoros,0,55.900001525878906,01/01/2000
Paraguay,0,54.77499961853027,01/01/2000
South Africa,0,63.900001525878906,01/01/2005
Namibia,0,61.0,01/01/2005
Botswana,0,60.5,01/01/2005
Central African Republic,0,56.20000076293945,01/01/2005
Honduras,0,55.91999969482422,01/01/2005
Brazil,0,54.9,01/01/2005
Guatemala,0,54.599998474121094,01/01/2005
Zambia,0,54.599998474121094,01/01/2005
Colombia,0,54.53333409627279,01/01/2005
Bolivia,0,53.94000015258789,01/01/2005
South Africa,0,63.20000076293945,01/01/2010
Zambia,0,55.599998474121094,01/01/2010
Lesotho,0,54.20000076293945,01/01/2010
Mozambique,0,54.0,01/01/2010
Honduras,0,53.67999954223633,01/01/2010
Colombia,0,53.4,01/01/2010
Brazil,0,52.44999980926514,01/01/2010
Panama,0,51.4,01/01/2010
Guinea-Bissau,0,50.70000076293945,01/01/2010
Paraguay,0,49.9,01/01/2010
Namibia,0,59.099998474121094,01/01/2015
Zambia,0,57.099998474121094,01/01/2015
Brazil,0,51.29999923706055,01/01/2015
Colombia,0,50.94999885559082,01/01/2015
Panama,0,50.60000038146973,01/01/2015
Honduras,0,49.79999923706055,01/01/2015
Costa Rica,0,48.55000114440918,01/01/2015
Benin,0,47.79999923706055,01/01/2015
Paraguay,0,47.75,01/01/2015
Chile,0,47.70000076293945,01/01/2015
