NAME,CODE,YEAR,VALUE
Dominican Republic,DOM,1986,47.8
Dominican Republic,DOM,1989,50.5
Dominican Republic,DOM,1992,51.4
Dominican Republic,DOM,1996,47.4
Dominican Republic,DOM,1997,48.9
Dominican Republic,DOM,2000,52.0
Dominican Republic,DOM,2001,50.4
Dominican Republic,DOM,2002,50.0
Dominican Republic,DOM,2003,52.0
Dominican Republic,DOM,2004,52.0
Dominican Republic,DOM,2005,49.9
Dominican Republic,DOM,2006,51.8
Dominican Republic,DOM,2007,48.6
Dominican Republic,DOM,2008,47.8
Dominican Republic,DOM,2009,48.5
Dominican Republic,DOM,2010,46.9
Dominican Republic,DOM,2011,47.4
Dominican Republic,DOM,2012,45.6
Dominican Republic,DOM,2013,47.0
Dominican Republic,DOM,2014,44.1
Dominican Republic,DOM,2015,44.7
Dominican Republic,DOM,2016,45.3
