NAME,CODE,YEAR,VALUE
Thailand,THA,1981,45.2
Thailand,THA,1988,43.8
Thailand,THA,1990,45.3
Thailand,THA,1992,47.9
Thailand,THA,1994,43.5
Thailand,THA,1996,42.9
Thailand,THA,1998,41.5
Thailand,THA,1999,43.1
Thailand,THA,2000,42.8
Thailand,THA,2002,41.9
Thailand,THA,2004,42.5
Thailand,THA,2006,41.8
Thailand,THA,2007,39.8
Thailand,THA,2008,40.3
Thailand,THA,2009,39.6
Thailand,THA,2010,39.4
Thailand,THA,2011,37.5
Thailand,THA,2012,39.3
Thailand,THA,2013,37.8
Thailand,THA,2014,37.0
Thailand,THA,2015,36.0
