NAME,CODE,YEAR,VALUE
Costa Rica,CRI,1981,47.5
Costa Rica,CRI,1986,34.4
Costa Rica,CRI,1989,46.7
Costa Rica,CRI,1990,45.3
Costa Rica,CRI,1991,46.6
Costa Rica,CRI,1992,45.7
Costa Rica,CRI,1993,46.0
Costa Rica,CRI,1994,46.8
Costa Rica,CRI,1995,45.7
Costa Rica,CRI,1996,46.5
Costa Rica,CRI,1997,45.6
Costa Rica,CRI,1998,45.7
Costa Rica,CRI,1999,47.7
Costa Rica,CRI,2000,47.4
Costa Rica,CRI,2001,51.6
Costa Rica,CRI,2002,51.9
Costa Rica,CRI,2003,49.3
Costa Rica,CRI,2004,48.3
Costa Rica,CRI,2005,47.5
Costa Rica,CRI,2006,49.4
Costa Rica,CRI,2007,49.3
Costa Rica,CRI,2008,48.7
Costa Rica,CRI,2009,50.6
Costa Rica,CRI,2010,48.2
Costa Rica,CRI,2011,48.7
Costa Rica,CRI,2012,48.6
Costa Rica,CRI,2013,49.3
Costa Rica,CRI,2014,48.6
Costa Rica,CRI,2015,48.4
Costa Rica,CRI,2016,48.7
